id,name,level,category
1,Active Listening Enhancement,1,OverallGoal
2,Help Students Improve Attention,2,Framework
3,Contextual Introduction,3,TeacherActivity
4,Why: If stories or videos are used, then students’ attention and interest are quickly captured.,4,Rationale
5,Attention ..to..: Align content with objectives, limit to 2-3 minutes.,4,Consideration
6,Specific Activities,4,ActivityGroup
7,Story,5,ActivityItem
8,Song,5,ActivityItem
9,Video,5,ActivityItem
10,Pose Questions,5,ActivityItem
11,Use Vivid Verbal Language,3,TeacherActivity
12,Why: If vivid language and varied intonation are used, then students listen more attentively.,4,Rationale
13,Attention ..to..: Use natural intonation, ensure clear instructions.,4,Consideration
14,Specific Activities,4,ActivityGroup
15,Teacher’s language is engaging with varied intonation,5,ActivityItem
16,Use exclamatory sentences frequently, e.g., Wow!/Look at this!,5,ActivityItem
17,Teacher’s instructions are simple and clear,5,ActivityItem
18,Teacher’s Body Language,3,TeacherActivity
19,Why: If gestures or eye contact are used, then students’ attention is rekindled.,4,Rationale
20,Attention ..to..: Use moderate gestures, maintain positive attitude.,4,Consideration
21,Specific Activities,4,ActivityGroup
22,Eye contact signals,5,ActivityItem
23,Nodding, clapping (to show attention),5,ActivityItem
24,Patting students’ shoulders as a reminder,5,ActivityItem
25,Conduct Game Activities,3,TeacherActivity
26,Why: If games are fun and competitive, then students listen attentively to rules.,4,Rationale
27,Attention ..to..: Use simple rules, limit to 5-10 minutes, ensure participation.,4,Consideration
28,Specific Activities,4,ActivityGroup
29,Word games (e.g., train game, hide-and-seek with words),5,ActivityItem
30,Quick-response challenge games,5,ActivityItem
31,Online related games,5,ActivityItem
32,Timed Task Challenges,3,TeacherActivity
33,Why: If tasks have time limits, then students focus and listen to instructions.,4,Rationale
34,Attention ..to..: Set reasonable time, match task difficulty to ability.,4,Consideration
35,Specific Activities,4,ActivityGroup
36,Specify the time for each task,5,ActivityItem
37,Assign more short-duration tasks,5,ActivityItem
38,Varied formats (individual, pair, group),5,ActivityItem
39,Organize Varied Fun Reading Activities,3,TeacherActivity
40,Why: If role-playing or group reading is used, then students listen attentively to prepare.,4,Rationale
41,Attention ..to..: Use structured formats, demonstrate intonation.,4,Consideration
42,Specific Activities,4,ActivityGroup
43,Students role-play reading,5,ActivityItem
44,Group competitive reading,5,ActivityItem
45,Read with different emotions,5,ActivityItem
46,Conduct Audiovisual Activities,3,TeacherActivity
47,Why: If videos or picture books are used, then students’ attention is attracted.,4,Rationale
48,Attention ..to..: Use lesson-related materials, guide focus.,4,Consideration
49,Specific Activities,4,ActivityGroup
50,Watch videos/photos (lesson-related),5,ActivityItem
51,Listen to music (lesson-related),5,ActivityItem
52,Read picture books (lesson-related),5,ActivityItem
53,Have students observe objects (lesson elements),5,ActivityItem
54,Organize Competitive Activities,3,TeacherActivity
55,Why: If quizzes are goal-driven, then students listen to questions attentively.,4,Rationale
56,Attention ..to..: Use tiered questions, ensure fair rewards.,4,Consideration
57,Specific Activities,4,ActivityGroup
58,Lesson content knowledge quiz,5,ActivityItem
59,Unit review competition,5,ActivityItem
60,Extracurricular knowledge competition,5,ActivityItem
61,Encourage Student Movement,3,TeacherActivity
62,Why: If movement is encouraged, then students’ attention is rekindled.,4,Rationale
63,Attention ..to..: Keep activities orderly, limit to 10 minutes.,4,Consideration
64,Specific Activities,4,ActivityGroup
65,Stand and read in different postures,5,ActivityItem
66,Whole class moves to find partners (form teams),5,ActivityItem
67,Sing to express,5,ActivityItem
68,Dance/body performance,5,ActivityItem
69,Encourage Research Activities,3,TeacherActivity
70,Why: If research tasks are assigned, then students listen to requirements attentively.,4,Rationale
71,Attention ..to..: Use specific tasks, teach tool usage.,4,Consideration
72,Specific Activities,4,ActivityGroup
73,Look up dictionary to note word meanings,5,ActivityItem
74,Research cultural knowledge,5,ActivityItem
75,Research lesson-related background,5,ActivityItem
76,Help Students Improve Comprehension,2,Framework
77,Guide Students to Identify Key Points,3,TeacherActivity
